id,reltrad,reltrad2,reltrad3
55,Roman Catholic,Roman Catholic,Roman Catholic
56,Roman Catholic,Roman Catholic,Roman Catholic
57,Roman Catholic,Roman Catholic,Roman Catholic
58,Roman Catholic,Roman Catholic,Roman Catholic
59,Mainline Protestant,Mainline Protestant,Mainline Protestant
60,Mainline Protestant,Mainline Protestant,Mainline Protestant
61,Mainline Protestant,Mainline Protestant,Mainline Protestant
62,Mainline Protestant,Mainline Protestant,Mainline Protestant
63,Mainline Protestant,Mainline Protestant,Mainline Protestant
64,Roman Catholic,Roman Catholic,Roman Catholic
65,Mainline Protestant,Mainline Protestant,Mainline Protestant
66,Other,Other,Other
67,Roman Catholic,Roman Catholic,Roman Catholic
68,Mainline Protestant,Mainline Protestant,Mainline Protestant
69,Roman Catholic,Roman Catholic,Roman Catholic
70,Roman Catholic,Roman Catholic,Roman Catholic
71,Mainline Protestant,Mainline Protestant,Mainline Protestant
72,Conservative Protestant,Conservative Protestant,Conservative Protestant
73,Roman Catholic,Roman Catholic,Roman Catholic
74,Roman Catholic,Roman Catholic,Roman Catholic
75,Roman Catholic,Roman Catholic,Roman Catholic
76,None,None,None
77,Roman Catholic,Roman Catholic,Roman Catholic
78,Mainline Protestant,Mainline Protestant,Mainline Protestant
79,Roman Catholic,Roman Catholic,Roman Catholic
80,Roman Catholic,Roman Catholic,Roman Catholic
81,Mainline Protestant,Mainline Protestant,Mainline Protestant
82,Mainline Protestant,Mainline Protestant,Mainline Protestant
83,None,None,None
84,Conservative Protestant,Conservative Protestant,Conservative Protestant
85,Other,Other,Other
86,Mainline Protestant,Mainline Protestant,Mainline Protestant
87,Roman Catholic,Roman Catholic,Roman Catholic
88,Other,Other,Other
89,None,None,None
90,Roman Catholic,Roman Catholic,Roman Catholic
91,None,None,None
92,Mainline Protestant,Mainline Protestant,Mainline Protestant
93,Other,Other,Other
94,Mainline Protestant,Mainline Protestant,Mainline Protestant
95,Mainline Protestant,Mainline Protestant,Mainline Protestant
96,Mainline Protestant,Mainline Protestant,Mainline Protestant
97,Mainline Protestant,Mainline Protestant,Mainline Protestant
98,Mainline Protestant,Mainline Protestant,Mainline Protestant
99,Mainline Protestant,Mainline Protestant,Mainline Protestant
100,Conservative Protestant,Conservative Protestant,Conservative Protestant
101,Conservative Protestant,Conservative Protestant,Conservative Protestant
102,Mainline Protestant,Mainline Protestant,Mainline Protestant
103,Mainline Protestant,Mainline Protestant,Mainline Protestant
104,Mainline Protestant,Mainline Protestant,Mainline Protestant
105,Mainline Protestant,Mainline Protestant,Mainline Protestant
106,None,None,None
107,Other,Other,Other
108,Other,Other,Other
109,Other,Other,Other
110,Conservative Protestant,Conservative Protestant,Conservative Protestant
111,Conservative Protestant,Conservative Protestant,Conservative Protestant
112,Black Protestant,Black Protestant,Black Protestant
113,Conservative Protestant,Conservative Protestant,Conservative Protestant
114,Roman Catholic,Roman Catholic,Roman Catholic
115,Roman Catholic,Roman Catholic,Roman Catholic
116,Jewish,Jewish,Jewish
117,Black Protestant,Black Protestant,Black Protestant
118,Black Protestant,Black Protestant,Black Protestant
119,Black Protestant,Black Protestant,Black Protestant
120,Black Protestant,Black Protestant,Black Protestant
121,Black Protestant,Black Protestant,Black Protestant
122,Black Protestant,Black Protestant,Black Protestant
123,Black Protestant,Black Protestant,Black Protestant
124,Black Protestant,Black Protestant,Black Protestant
125,Roman Catholic,Roman Catholic,Roman Catholic
126,None,None,None
127,None,None,None
128,Roman Catholic,Roman Catholic,Roman Catholic
129,Roman Catholic,Roman Catholic,Roman Catholic
130,Mainline Protestant,Mainline Protestant,Mainline Protestant
131,Roman Catholic,Roman Catholic,Roman Catholic
132,Roman Catholic,Roman Catholic,Roman Catholic
133,Roman Catholic,Roman Catholic,Roman Catholic
134,Mainline Protestant,Mainline Protestant,Mainline Protestant
135,Conservative Protestant,Conservative Protestant,Conservative Protestant
136,Conservative Protestant,Conservative Protestant,Conservative Protestant
137,Conservative Protestant,Conservative Protestant,Conservative Protestant
138,Conservative Protestant,Conservative Protestant,Conservative Protestant
139,Roman Catholic,Roman Catholic,Roman Catholic
140,Mainline Protestant,Mainline Protestant,Mainline Protestant
141,Mainline Protestant,Mainline Protestant,Mainline Protestant
142,Conservative Protestant,Conservative Protestant,Conservative Protestant
143,Jewish,Jewish,Jewish
144,Mainline Protestant,Mainline Protestant,Mainline Protestant
145,Conservative Protestant,Conservative Protestant,Conservative Protestant
146,Conservative Protestant,Conservative Protestant,Conservative Protestant
147,Conservative Protestant,Conservative Protestant,Conservative Protestant
148,Conservative Protestant,Conservative Protestant,Conservative Protestant
149,Mainline Protestant,Mainline Protestant,Mainline Protestant
150,Mainline Protestant,Mainline Protestant,Mainline Protestant
151,None,None,None
152,Roman Catholic,Roman Catholic,Roman Catholic
153,Roman Catholic,Roman Catholic,Roman Catholic
154,Roman Catholic,Roman Catholic,Roman Catholic
155,Mainline Protestant,Mainline Protestant,Mainline Protestant
156,Conservative Protestant,Conservative Protestant,Conservative Protestant
157,Mainline Protestant,Mainline Protestant,Mainline Protestant
158,Mainline Protestant,Mainline Protestant,Mainline Protestant
159,Roman Catholic,Roman Catholic,Roman Catholic
160,NA,NA,NA
161,Mainline Protestant,Mainline Protestant,Mainline Protestant
162,Conservative Protestant,Conservative Protestant,Conservative Protestant
163,Conservative Protestant,Conservative Protestant,Conservative Protestant
164,Mainline Protestant,Mainline Protestant,Mainline Protestant
165,None,None,None
166,None,None,None
167,Mainline Protestant,Mainline Protestant,Mainline Protestant
168,None,None,None
169,Mainline Protestant,Mainline Protestant,Mainline Protestant
170,Roman Catholic,Roman Catholic,Roman Catholic
171,Mainline Protestant,Mainline Protestant,Mainline Protestant
172,None,None,None
173,None,None,None
174,Roman Catholic,Roman Catholic,Roman Catholic
175,Mainline Protestant,Mainline Protestant,Mainline Protestant
176,Mainline Protestant,Mainline Protestant,Mainline Protestant
177,Conservative Protestant,Conservative Protestant,Conservative Protestant
178,None,None,None
179,None,None,None
180,Mainline Protestant,Mainline Protestant,Mainline Protestant
181,Black Protestant,Black Protestant,Black Protestant
182,Black Protestant,Black Protestant,Black Protestant
183,Black Protestant,Black Protestant,Black Protestant
184,Black Protestant,Black Protestant,Black Protestant
185,Black Protestant,Black Protestant,Black Protestant
186,Black Protestant,Black Protestant,Black Protestant
187,Black Protestant,Black Protestant,Black Protestant
188,Roman Catholic,Roman Catholic,Roman Catholic
189,Mainline Protestant,Mainline Protestant,Mainline Protestant
190,Roman Catholic,Roman Catholic,Roman Catholic
191,Mainline Protestant,Mainline Protestant,Mainline Protestant
192,Mainline Protestant,Mainline Protestant,Mainline Protestant
193,Roman Catholic,Roman Catholic,Roman Catholic
194,Roman Catholic,Roman Catholic,Roman Catholic
195,Other,Other,Other
196,Mainline Protestant,Mainline Protestant,Mainline Protestant
197,Conservative Protestant,Conservative Protestant,Conservative Protestant
198,Mainline Protestant,Mainline Protestant,Mainline Protestant
199,Roman Catholic,Roman Catholic,Roman Catholic
200,Conservative Protestant,Conservative Protestant,Conservative Protestant
201,Mainline Protestant,Mainline Protestant,Mainline Protestant
202,Mainline Protestant,Mainline Protestant,Mainline Protestant
203,Mainline Protestant,Mainline Protestant,Mainline Protestant
204,Mainline Protestant,Mainline Protestant,Mainline Protestant
205,Conservative Protestant,Conservative Protestant,Conservative Protestant
206,Mainline Protestant,Mainline Protestant,Mainline Protestant
207,Conservative Protestant,Conservative Protestant,Conservative Protestant
208,Conservative Protestant,Conservative Protestant,Conservative Protestant
209,NA,Conservative Protestant,Protestant No Denomination
210,Roman Catholic,Roman Catholic,Roman Catholic
211,Mainline Protestant,Mainline Protestant,Mainline Protestant
212,Conservative Protestant,Conservative Protestant,Conservative Protestant
213,Conservative Protestant,Conservative Protestant,Conservative Protestant
214,Black Protestant,Black Protestant,Black Protestant
215,Black Protestant,Black Protestant,Black Protestant
216,Black Protestant,Black Protestant,Black Protestant
217,Black Protestant,Black Protestant,Black Protestant
218,Black Protestant,Black Protestant,Black Protestant
219,Black Protestant,Black Protestant,Black Protestant
220,Black Protestant,Black Protestant,Black Protestant
221,Conservative Protestant,Conservative Protestant,Conservative Protestant
222,Roman Catholic,Roman Catholic,Roman Catholic
223,Roman Catholic,Roman Catholic,Roman Catholic
224,Roman Catholic,Roman Catholic,Roman Catholic
225,Mainline Protestant,Mainline Protestant,Mainline Protestant
226,Mainline Protestant,Mainline Protestant,Mainline Protestant
227,Mainline Protestant,Mainline Protestant,Mainline Protestant
228,None,None,None
229,Mainline Protestant,Mainline Protestant,Mainline Protestant
230,Roman Catholic,Roman Catholic,Roman Catholic
231,Roman Catholic,Roman Catholic,Roman Catholic
232,Conservative Protestant,Conservative Protestant,Conservative Protestant
233,Mainline Protestant,Mainline Protestant,Mainline Protestant
234,Mainline Protestant,Mainline Protestant,Mainline Protestant
235,Mainline Protestant,Mainline Protestant,Mainline Protestant
236,Conservative Protestant,Conservative Protestant,Protestant No Denomination
237,None,None,None
238,Conservative Protestant,Conservative Protestant,Conservative Protestant
239,Conservative Protestant,Conservative Protestant,Conservative Protestant
240,Conservative Protestant,Conservative Protestant,Conservative Protestant
241,Conservative Protestant,Conservative Protestant,Conservative Protestant
242,Conservative Protestant,Conservative Protestant,Conservative Protestant
243,Conservative Protestant,Conservative Protestant,Conservative Protestant
244,Mainline Protestant,Mainline Protestant,Mainline Protestant
245,Conservative Protestant,Conservative Protestant,Conservative Protestant
246,Conservative Protestant,Conservative Protestant,Conservative Protestant
247,Conservative Protestant,Conservative Protestant,Conservative Protestant
248,Mainline Protestant,Mainline Protestant,Mainline Protestant
249,Conservative Protestant,Conservative Protestant,Conservative Protestant
250,Mainline Protestant,Mainline Protestant,Mainline Protestant
251,Mainline Protestant,Mainline Protestant,Mainline Protestant
252,Roman Catholic,Roman Catholic,Roman Catholic
253,Roman Catholic,Roman Catholic,Roman Catholic
254,Roman Catholic,Roman Catholic,Roman Catholic
255,Roman Catholic,Roman Catholic,Roman Catholic
256,Roman Catholic,Roman Catholic,Roman Catholic
257,Roman Catholic,Roman Catholic,Roman Catholic
258,Roman Catholic,Roman Catholic,Roman Catholic
259,Roman Catholic,Roman Catholic,Roman Catholic
260,Conservative Protestant,Conservative Protestant,Conservative Protestant
261,None,None,None
262,None,None,None
263,None,None,None
264,Conservative Protestant,Conservative Protestant,Conservative Protestant
265,Conservative Protestant,Conservative Protestant,Conservative Protestant
266,Mainline Protestant,Mainline Protestant,Mainline Protestant
267,Mainline Protestant,Mainline Protestant,Mainline Protestant
268,Mainline Protestant,Mainline Protestant,Mainline Protestant
269,Black Protestant,Black Protestant,Black Protestant
270,Conservative Protestant,Conservative Protestant,Conservative Protestant
271,Conservative Protestant,Conservative Protestant,Conservative Protestant
272,Black Protestant,Black Protestant,Black Protestant
273,Black Protestant,Black Protestant,Black Protestant
274,Black Protestant,Black Protestant,Black Protestant
275,Black Protestant,Black Protestant,Black Protestant
276,Mainline Protestant,Mainline Protestant,Mainline Protestant
277,None,None,None
278,Conservative Protestant,Conservative Protestant,Conservative Protestant
279,Other,Other,Other
280,Conservative Protestant,Conservative Protestant,Conservative Protestant
281,Conservative Protestant,Conservative Protestant,Conservative Protestant
282,Conservative Protestant,Conservative Protestant,Conservative Protestant
283,Mainline Protestant,Mainline Protestant,Mainline Protestant
284,Conservative Protestant,Conservative Protestant,Conservative Protestant
285,Roman Catholic,Roman Catholic,Roman Catholic
286,Roman Catholic,Roman Catholic,Roman Catholic
287,Roman Catholic,Roman Catholic,Roman Catholic
288,Roman Catholic,Roman Catholic,Roman Catholic
289,Roman Catholic,Roman Catholic,Roman Catholic
290,Roman Catholic,Roman Catholic,Roman Catholic
291,Roman Catholic,Roman Catholic,Roman Catholic
292,None,None,None
293,Roman Catholic,Roman Catholic,Roman Catholic
294,Roman Catholic,Roman Catholic,Roman Catholic
295,Roman Catholic,Roman Catholic,Roman Catholic
296,Roman Catholic,Roman Catholic,Roman Catholic
297,Roman Catholic,Roman Catholic,Roman Catholic
298,Roman Catholic,Roman Catholic,Roman Catholic
299,Roman Catholic,Roman Catholic,Roman Catholic
300,Roman Catholic,Roman Catholic,Roman Catholic
301,Black Protestant,Black Protestant,Black Protestant
302,Black Protestant,Black Protestant,Black Protestant
303,Black Protestant,Black Protestant,Black Protestant
304,Black Protestant,Black Protestant,Black Protestant
305,Black Protestant,Black Protestant,Black Protestant
306,Black Protestant,Black Protestant,Black Protestant
307,Black Protestant,Black Protestant,Black Protestant
308,Black Protestant,Black Protestant,Black Protestant
309,Black Protestant,Black Protestant,Black Protestant
310,Black Protestant,Black Protestant,Black Protestant
311,Black Protestant,Black Protestant,Black Protestant
312,Black Protestant,Black Protestant,Black Protestant
313,Black Protestant,Black Protestant,Black Protestant
314,Black Protestant,Black Protestant,Black Protestant
315,Black Protestant,Black Protestant,Black Protestant
316,Black Protestant,Black Protestant,Black Protestant
317,Roman Catholic,Roman Catholic,Roman Catholic
318,None,None,None
319,Roman Catholic,Roman Catholic,Roman Catholic
320,Roman Catholic,Roman Catholic,Roman Catholic
321,Roman Catholic,Roman Catholic,Roman Catholic
322,Roman Catholic,Roman Catholic,Roman Catholic
323,Conservative Protestant,Conservative Protestant,Conservative Protestant
324,Roman Catholic,Roman Catholic,Roman Catholic
325,Roman Catholic,Roman Catholic,Roman Catholic
326,Other,Other,Other
327,Roman Catholic,Roman Catholic,Roman Catholic
328,Mainline Protestant,Mainline Protestant,Mainline Protestant
329,Conservative Protestant,Conservative Protestant,Conservative Protestant
330,Roman Catholic,Roman Catholic,Roman Catholic
331,Roman Catholic,Roman Catholic,Roman Catholic
332,Roman Catholic,Roman Catholic,Roman Catholic
333,Mainline Protestant,Mainline Protestant,Mainline Protestant
334,Roman Catholic,Roman Catholic,Roman Catholic
335,Mainline Protestant,Mainline Protestant,Mainline Protestant
336,Mainline Protestant,Mainline Protestant,Mainline Protestant
337,Roman Catholic,Roman Catholic,Roman Catholic
338,Roman Catholic,Roman Catholic,Roman Catholic
339,Mainline Protestant,Mainline Protestant,Mainline Protestant
340,Black Protestant,Black Protestant,Black Protestant
341,Black Protestant,Black Protestant,Black Protestant
342,Black Protestant,Black Protestant,Black Protestant
343,Black Protestant,Black Protestant,Black Protestant
344,Black Protestant,Black Protestant,Black Protestant
345,Black Protestant,Black Protestant,Black Protestant
346,Black Protestant,Black Protestant,Black Protestant
347,Conservative Protestant,Conservative Protestant,Conservative Protestant
348,NA,Conservative Protestant,Protestant No Denomination
349,Conservative Protestant,Conservative Protestant,Conservative Protestant
350,Mainline Protestant,Mainline Protestant,Mainline Protestant
351,Mainline Protestant,Mainline Protestant,Mainline Protestant
352,Roman Catholic,Roman Catholic,Roman Catholic
353,Conservative Protestant,Conservative Protestant,Conservative Protestant
354,Black Protestant,Black Protestant,Black Protestant
355,Black Protestant,Black Protestant,Black Protestant
356,Black Protestant,Black Protestant,Black Protestant
357,Black Protestant,Black Protestant,Black Protestant
358,Black Protestant,Black Protestant,Black Protestant
359,Black Protestant,Black Protestant,Black Protestant
360,Black Protestant,Black Protestant,Black Protestant
361,Black Protestant,Black Protestant,Black Protestant
362,Conservative Protestant,Conservative Protestant,Protestant No Denomination
363,Mainline Protestant,Mainline Protestant,Mainline Protestant
364,Mainline Protestant,Mainline Protestant,Mainline Protestant
365,Mainline Protestant,Mainline Protestant,Mainline Protestant
366,Mainline Protestant,Mainline Protestant,Mainline Protestant
367,Mainline Protestant,Mainline Protestant,Mainline Protestant
368,Mainline Protestant,Mainline Protestant,Mainline Protestant
369,Roman Catholic,Roman Catholic,Roman Catholic
370,Roman Catholic,Roman Catholic,Roman Catholic
371,Roman Catholic,Roman Catholic,Roman Catholic
372,Roman Catholic,Roman Catholic,Roman Catholic
373,Roman Catholic,Roman Catholic,Roman Catholic
374,Roman Catholic,Roman Catholic,Roman Catholic
375,Roman Catholic,Roman Catholic,Roman Catholic
376,Roman Catholic,Roman Catholic,Roman Catholic
377,Mainline Protestant,Mainline Protestant,Mainline Protestant
378,Roman Catholic,Roman Catholic,Roman Catholic
379,Mainline Protestant,Mainline Protestant,Mainline Protestant
380,Mainline Protestant,Mainline Protestant,Mainline Protestant
381,Mainline Protestant,Mainline Protestant,Mainline Protestant
382,Mainline Protestant,Mainline Protestant,Mainline Protestant
383,Mainline Protestant,Mainline Protestant,Mainline Protestant
384,Roman Catholic,Roman Catholic,Roman Catholic
385,Mainline Protestant,Mainline Protestant,Mainline Protestant
386,Mainline Protestant,Mainline Protestant,Mainline Protestant
387,Conservative Protestant,Conservative Protestant,Conservative Protestant
388,Mainline Protestant,Mainline Protestant,Mainline Protestant
389,Conservative Protestant,Conservative Protestant,Conservative Protestant
390,Mainline Protestant,Mainline Protestant,Mainline Protestant
391,Black Protestant,Black Protestant,Black Protestant
392,Black Protestant,Black Protestant,Black Protestant
393,Black Protestant,Black Protestant,Black Protestant
394,Black Protestant,Black Protestant,Black Protestant
395,Black Protestant,Black Protestant,Black Protestant
396,Black Protestant,Black Protestant,Black Protestant
397,Black Protestant,Black Protestant,Black Protestant
398,Black Protestant,Black Protestant,Black Protestant
399,Black Protestant,Black Protestant,Black Protestant
400,Black Protestant,Black Protestant,Black Protestant
401,Roman Catholic,Roman Catholic,Roman Catholic
402,Mainline Protestant,Mainline Protestant,Mainline Protestant
403,Roman Catholic,Roman Catholic,Roman Catholic
404,Mainline Protestant,Mainline Protestant,Mainline Protestant
405,Mainline Protestant,Mainline Protestant,Mainline Protestant
406,Mainline Protestant,Mainline Protestant,Mainline Protestant
407,Mainline Protestant,Mainline Protestant,Mainline Protestant
408,Conservative Protestant,Conservative Protestant,Conservative Protestant
409,Conservative Protestant,Conservative Protestant,Conservative Protestant
410,Black Protestant,Black Protestant,Black Protestant
411,Mainline Protestant,Mainline Protestant,Mainline Protestant
412,Black Protestant,Black Protestant,Black Protestant
413,Conservative Protestant,Conservative Protestant,Conservative Protestant
414,Conservative Protestant,Conservative Protestant,Conservative Protestant
415,None,None,None
416,Roman Catholic,Roman Catholic,Roman Catholic
417,Roman Catholic,Roman Catholic,Roman Catholic
418,Roman Catholic,Roman Catholic,Roman Catholic
419,Roman Catholic,Roman Catholic,Roman Catholic
420,Roman Catholic,Roman Catholic,Roman Catholic
421,Conservative Protestant,Conservative Protestant,Conservative Protestant
422,Roman Catholic,Roman Catholic,Roman Catholic
423,Mainline Protestant,Mainline Protestant,Mainline Protestant
424,Mainline Protestant,Mainline Protestant,Mainline Protestant
425,Mainline Protestant,Mainline Protestant,Mainline Protestant
426,Roman Catholic,Roman Catholic,Roman Catholic
427,Mainline Protestant,Mainline Protestant,Mainline Protestant
428,Roman Catholic,Roman Catholic,Roman Catholic
429,Roman Catholic,Roman Catholic,Roman Catholic
430,Mainline Protestant,Mainline Protestant,Mainline Protestant
431,Mainline Protestant,Mainline Protestant,Mainline Protestant
432,Mainline Protestant,Mainline Protestant,Mainline Protestant
433,None,None,None
434,Mainline Protestant,Mainline Protestant,Mainline Protestant
435,None,None,None
436,Mainline Protestant,Mainline Protestant,Mainline Protestant
437,Mainline Protestant,Mainline Protestant,Mainline Protestant
438,Conservative Protestant,Conservative Protestant,Conservative Protestant
439,Roman Catholic,Roman Catholic,Roman Catholic
440,NA,Conservative Protestant,Protestant No Denomination
441,Conservative Protestant,Conservative Protestant,Conservative Protestant
442,None,None,None
443,Mainline Protestant,Mainline Protestant,Mainline Protestant
444,Roman Catholic,Roman Catholic,Roman Catholic
445,Mainline Protestant,Mainline Protestant,Mainline Protestant
446,Mainline Protestant,Mainline Protestant,Mainline Protestant
447,Black Protestant,Black Protestant,Black Protestant
448,Mainline Protestant,Mainline Protestant,Mainline Protestant
449,Black Protestant,Black Protestant,Black Protestant
450,Conservative Protestant,Conservative Protestant,Conservative Protestant
451,Black Protestant,Black Protestant,Black Protestant
452,Black Protestant,Black Protestant,Black Protestant
453,Black Protestant,Black Protestant,Black Protestant
454,Black Protestant,Black Protestant,Black Protestant
455,Black Protestant,Black Protestant,Black Protestant
456,Roman Catholic,Roman Catholic,Roman Catholic
457,Roman Catholic,Roman Catholic,Roman Catholic
458,Roman Catholic,Roman Catholic,Roman Catholic
459,Roman Catholic,Roman Catholic,Roman Catholic
460,Roman Catholic,Roman Catholic,Roman Catholic
461,Roman Catholic,Roman Catholic,Roman Catholic
462,Roman Catholic,Roman Catholic,Roman Catholic
463,Roman Catholic,Roman Catholic,Roman Catholic
464,Other,Other,Other
465,None,None,None
466,None,None,None
467,Black Protestant,Black Protestant,Black Protestant
468,Mainline Protestant,Mainline Protestant,Mainline Protestant
469,Conservative Protestant,Conservative Protestant,Conservative Protestant
470,Conservative Protestant,Conservative Protestant,Conservative Protestant
471,Conservative Protestant,Conservative Protestant,Conservative Protestant
472,Mainline Protestant,Mainline Protestant,Mainline Protestant
473,Mainline Protestant,Mainline Protestant,Mainline Protestant
474,Mainline Protestant,Mainline Protestant,Mainline Protestant
475,Roman Catholic,Roman Catholic,Roman Catholic
476,Mainline Protestant,Mainline Protestant,Mainline Protestant
477,Mainline Protestant,Mainline Protestant,Mainline Protestant
478,Mainline Protestant,Mainline Protestant,Mainline Protestant
479,Conservative Protestant,Conservative Protestant,Conservative Protestant
480,Mainline Protestant,Mainline Protestant,Mainline Protestant
481,Mainline Protestant,Mainline Protestant,Mainline Protestant
482,Mainline Protestant,Mainline Protestant,Mainline Protestant
483,Mainline Protestant,Mainline Protestant,Mainline Protestant
484,Jewish,Jewish,Jewish
485,Roman Catholic,Roman Catholic,Roman Catholic
486,Roman Catholic,Roman Catholic,Roman Catholic
487,Roman Catholic,Roman Catholic,Roman Catholic
488,Conservative Protestant,Conservative Protestant,Conservative Protestant
489,Conservative Protestant,Conservative Protestant,Conservative Protestant
490,Conservative Protestant,Conservative Protestant,Conservative Protestant
491,Mainline Protestant,Mainline Protestant,Mainline Protestant
492,Conservative Protestant,Conservative Protestant,Conservative Protestant
493,Conservative Protestant,Conservative Protestant,Conservative Protestant
494,Mainline Protestant,Mainline Protestant,Mainline Protestant
495,Roman Catholic,Roman Catholic,Roman Catholic
496,Mainline Protestant,Mainline Protestant,Mainline Protestant
497,Mainline Protestant,Mainline Protestant,Mainline Protestant
498,Roman Catholic,Roman Catholic,Roman Catholic
499,Conservative Protestant,Conservative Protestant,Conservative Protestant
500,Conservative Protestant,Conservative Protestant,Conservative Protestant
501,Mainline Protestant,Mainline Protestant,Mainline Protestant
502,Mainline Protestant,Mainline Protestant,Mainline Protestant
503,Mainline Protestant,Mainline Protestant,Mainline Protestant
504,Roman Catholic,Roman Catholic,Roman Catholic
505,Mainline Protestant,Mainline Protestant,Mainline Protestant
506,Mainline Protestant,Mainline Protestant,Mainline Protestant
507,Mainline Protestant,Mainline Protestant,Mainline Protestant
508,Roman Catholic,Roman Catholic,Roman Catholic
509,Roman Catholic,Roman Catholic,Roman Catholic
510,Mainline Protestant,Mainline Protestant,Mainline Protestant
511,Mainline Protestant,Mainline Protestant,Mainline Protestant
512,Mainline Protestant,Mainline Protestant,Mainline Protestant
513,None,None,None
514,Roman Catholic,Roman Catholic,Roman Catholic
515,Roman Catholic,Roman Catholic,Roman Catholic
516,Mainline Protestant,Mainline Protestant,Mainline Protestant
517,Mainline Protestant,Mainline Protestant,Mainline Protestant
518,Other,Other,Other
519,Mainline Protestant,Mainline Protestant,Mainline Protestant
520,Mainline Protestant,Mainline Protestant,Mainline Protestant
521,Mainline Protestant,Mainline Protestant,Mainline Protestant
522,Mainline Protestant,Mainline Protestant,Mainline Protestant
523,Mainline Protestant,Mainline Protestant,Mainline Protestant
524,Mainline Protestant,Mainline Protestant,Mainline Protestant
525,NA,Conservative Protestant,Protestant No Denomination
526,Conservative Protestant,Conservative Protestant,Conservative Protestant
527,Mainline Protestant,Mainline Protestant,Mainline Protestant
528,Mainline Protestant,Mainline Protestant,Mainline Protestant
529,Mainline Protestant,Mainline Protestant,Mainline Protestant
530,Conservative Protestant,Conservative Protestant,Conservative Protestant
531,Roman Catholic,Roman Catholic,Roman Catholic
532,Roman Catholic,Roman Catholic,Roman Catholic
533,Roman Catholic,Roman Catholic,Roman Catholic
534,Mainline Protestant,Mainline Protestant,Mainline Protestant
535,Roman Catholic,Roman Catholic,Roman Catholic
536,Mainline Protestant,Mainline Protestant,Mainline Protestant
537,Jewish,Jewish,Jewish
538,Roman Catholic,Roman Catholic,Roman Catholic
539,Roman Catholic,Roman Catholic,Roman Catholic
540,Roman Catholic,Roman Catholic,Roman Catholic
541,Roman Catholic,Roman Catholic,Roman Catholic
542,Roman Catholic,Roman Catholic,Roman Catholic
543,Roman Catholic,Roman Catholic,Roman Catholic
544,Roman Catholic,Roman Catholic,Roman Catholic
545,Roman Catholic,Roman Catholic,Roman Catholic
546,Roman Catholic,Roman Catholic,Roman Catholic
547,Roman Catholic,Roman Catholic,Roman Catholic
